customer_id,age,income,income_band,employment_type,region,signup_date
116502,,35000.0,25k-50k,< 1 year,Northeast,2007-08-01
117046,,225000.0,100k+,1 year,Midwest,2007-08-01
116607,,70000.0,50k-75k,< 1 year,West,2007-08-01
94256,,150000.0,100k+,1 year,Northeast,2007-08-01
113093,,33990.0,25k-50k,2 years,South,2007-08-01
85483,,118000.0,100k+,10+ years,Northeast,2007-09-01
129716,,120000.0,100k+,3 years,South,2007-09-01
128775,,23000.0,<25k,< 1 year,West,2007-09-01
127807,,45000.0,25k-50k,< 1 year,Northeast,2007-09-01
127824,,70000.0,50k-75k,9 years,South,2007-09-01
127525,,75000.0,75k-100k,10+ years,Northeast,2007-09-01
127345,,45000.0,25k-50k,3 years,Northeast,2007-09-01
126782,,93000.0,75k-100k,6 years,South,2007-09-01
127460,,96000.0,75k-100k,< 1 year,South,2007-09-01
125787,,225000.0,100k+,9 years,Northeast,2007-09-01
125654,,45000.0,25k-50k,< 1 year,Midwest,2007-09-01
126209,,63000.0,50k-75k,2 years,Northeast,2007-09-01
124159,,88000.0,75k-100k,2 years,South,2007-09-01
125668,,150000.0,100k+,10+ years,Northeast,2007-09-01
84914,,65000.0,50k-75k,10+ years,Northeast,2007-09-01
124430,,30000.0,25k-50k,5 years,Midwest,2007-09-01
120995,,96000.0,75k-100k,< 1 year,Northeast,2007-09-01
125914,,173000.0,100k+,< 1 year,Midwest,2007-09-01
140027,,35000.0,25k-50k,1 year,Northeast,2007-10-01
139977,,39000.0,25k-50k,1 year,South,2007-10-01
139887,,36400.0,25k-50k,2 years,South,2007-10-01
138075,,120000.0,100k+,10+ years,South,2007-10-01
139053,,54000.0,50k-75k,6 years,South,2007-10-01
138553,,62000.0,50k-75k,1 year,South,2007-10-01
140448,,18000.0,<25k,1 year,Northeast,2007-10-01
137952,,105000.0,100k+,< 1 year,Northeast,2007-10-01
139779,,29120.0,25k-50k,< 1 year,Northeast,2007-10-01
140555,,60000.0,50k-75k,2 years,West,2007-10-01
141648,,45000.0,25k-50k,< 1 year,Northeast,2007-10-01
140897,,49000.0,25k-50k,9 years,South,2007-10-01
141022,,70000.0,50k-75k,< 1 year,South,2007-10-01
141767,,85000.0,75k-100k,8 years,Northeast,2007-10-01
142269,,55400.0,50k-75k,2 years,West,2007-10-01
74724,,15000.0,<25k,< 1 year,Northeast,2007-10-01
139881,,25000.0,25k-50k,< 1 year,South,2007-10-01
142781,,84000.0,75k-100k,10+ years,South,2007-10-01
143098,,38000.0,25k-50k,< 1 year,South,2007-10-01
136588,,12500.0,<25k,< 1 year,South,2007-10-01
139696,,70000.0,50k-75k,3 years,South,2007-10-01
137103,,31000.0,25k-50k,< 1 year,South,2007-10-01
139245,,32000.0,25k-50k,1 year,Midwest,2007-10-01
136631,,85000.0,75k-100k,8 years,South,2007-10-01
136922,,480000.0,100k+,2 years,Northeast,2007-10-01
130019,,57000.0,50k-75k,5 years,South,2007-10-01
130725,,72000.0,50k-75k,4 years,South,2007-10-01
130904,,120000.0,100k+,7 years,Midwest,2007-10-01
126773,,90000.0,75k-100k,2 years,Northeast,2007-10-01
113921,,19000.0,<25k,2 years,Northeast,2007-10-01
131612,,32400.0,25k-50k,< 1 year,West,2007-10-01
131639,,50000.0,50k-75k,3 years,West,2007-10-01
131769,,62200.0,50k-75k,< 1 year,Northeast,2007-10-01
130915,,57000.0,50k-75k,3 years,Northeast,2007-10-01
132154,,87300.0,75k-100k,< 1 year,Midwest,2007-10-01
129367,,92000.0,75k-100k,6 years,South,2007-10-01
132940,,85000.0,75k-100k,9 years,South,2007-10-01
132889,,39000.0,25k-50k,8 years,South,2007-10-01
136313,,90000.0,75k-100k,< 1 year,South,2007-10-01
136223,,36000.0,25k-50k,1 year,Northeast,2007-10-01
130983,,110000.0,100k+,< 1 year,Northeast,2007-10-01
135591,,55000.0,50k-75k,1 year,South,2007-10-01
135198,,30000.0,25k-50k,8 years,Midwest,2007-10-01
134417,,40000.0,25k-50k,< 1 year,West,2007-10-01
133664,,57100.0,50k-75k,3 years,South,2007-10-01
133259,,45600.0,25k-50k,10+ years,Midwest,2007-10-01
136485,,10000.0,<25k,< 1 year,South,2007-10-01
147832,,27000.0,25k-50k,2 years,South,2007-11-01
154295,,30000.0,25k-50k,1 year,Northeast,2007-11-01
153428,,35000.0,25k-50k,< 1 year,Northeast,2007-11-01
154129,,52000.0,50k-75k,7 years,South,2007-11-01
151536,,35000.0,25k-50k,1 year,South,2007-11-01
154264,,88000.0,75k-100k,< 1 year,West,2007-11-01
152600,,66000.0,50k-75k,7 years,South,2007-11-01
157162,,616000.0,100k+,10+ years,South,2007-11-01
155549,,95000.0,75k-100k,5 years,Northeast,2007-11-01
156396,,68686.0,50k-75k,10+ years,South,2007-11-01
156838,,60000.0,50k-75k,4 years,Northeast,2007-11-01
159659,,12000.0,<25k,3 years,South,2007-11-01
163835,,18000.0,<25k,< 1 year,Northeast,2007-11-01
153018,,93000.0,75k-100k,5 years,West,2007-11-01
166498,,72000.0,50k-75k,10+ years,South,2007-11-01
155777,,20000.0,<25k,2 years,South,2007-11-01
152635,,62000.0,50k-75k,2 years,South,2007-11-01
154761,,51000.0,50k-75k,10+ years,Northeast,2007-11-01
151597,,41000.0,25k-50k,10+ years,South,2007-11-01
128262,,50000.0,50k-75k,1 year,Northeast,2007-11-01
152282,,21000.0,<25k,< 1 year,South,2007-11-01
143201,,46713.0,25k-50k,3 years,South,2007-11-01
144575,,70000.0,50k-75k,2 years,Northeast,2007-11-01
144623,,75000.0,75k-100k,2 years,South,2007-11-01
138910,,109000.0,100k+,4 years,South,2007-11-01
146626,,52000.0,50k-75k,2 years,West,2007-11-01
146655,,78000.0,75k-100k,< 1 year,Midwest,2007-11-01
142718,,57000.0,50k-75k,10+ years,West,2007-11-01
148467,,275000.0,100k+,< 1 year,Northeast,2007-11-01
127716,,85000.0,75k-100k,3 years,Northeast,2007-11-01
127500,,150000.0,100k+,6 years,Northeast,2007-11-01
151590,,25000.0,25k-50k,1 year,South,2007-11-01
149552,,30000.0,25k-50k,< 1 year,South,2007-11-01
151580,,116000.0,100k+,10+ years,Northeast,2007-11-01
149751,,14400.0,<25k,< 1 year,South,2007-11-01
146834,,120000.0,100k+,7 years,West,2007-11-01
150893,,63500.0,50k-75k,3 years,West,2007-11-01
180561,,120000.0,100k+,8 years,Northeast,2007-12-01
180658,,73000.0,50k-75k,10+ years,South,2007-12-01
178271,,60000.0,50k-75k,< 1 year,Northeast,2007-12-01
171765,,105000.0,100k+,< 1 year,Northeast,2007-12-01
181614,,25480.0,25k-50k,6 years,Northeast,2007-12-01
180337,,48000.0,25k-50k,1 year,South,2007-12-01
170292,,34992.0,25k-50k,4 years,Midwest,2007-12-01
177903,,24000.0,<25k,2 years,South,2007-12-01
154006,,75000.0,75k-100k,3 years,West,2007-12-01
178968,,70522.26,50k-75k,10+ years,South,2007-12-01
176992,,50400.0,50k-75k,4 years,Northeast,2007-12-01
178070,,24000.0,<25k,1 year,South,2007-12-01
177995,,36120.0,25k-50k,1 year,Midwest,2007-12-01
171100,,19500.0,<25k,< 1 year,Northeast,2007-12-01
182083,,54099.0,50k-75k,2 years,South,2007-12-01
177072,,77000.0,75k-100k,2 years,South,2007-12-01
176989,,80000.0,75k-100k,1 year,West,2007-12-01
176612,,62000.0,50k-75k,< 1 year,Northeast,2007-12-01
179879,,78862.0,75k-100k,10+ years,Northeast,2007-12-01
182441,,50952.0,50k-75k,< 1 year,South,2007-12-01
185669,,135000.0,100k+,1 year,Northeast,2007-12-01
182839,,48000.0,25k-50k,2 years,Midwest,2007-12-01
191813,,38556.0,25k-50k,10+ years,West,2007-12-01
191003,,39975.0,25k-50k,< 1 year,Northeast,2007-12-01
178126,,24000.0,<25k,10+ years,South,2007-12-01
179800,,29376.0,25k-50k,1 year,South,2007-12-01
129893,,54000.0,50k-75k,3 years,Midwest,2007-12-01
187665,,87000.0,75k-100k,< 1 year,West,2007-12-01
187430,,67000.0,50k-75k,< 1 year,West,2007-12-01
186773,,83000.0,75k-100k,6 years,Northeast,2007-12-01
182527,,25000.0,25k-50k,< 1 year,Northeast,2007-12-01
184693,,60000.0,50k-75k,3 years,Northeast,2007-12-01
186347,,120000.0,100k+,< 1 year,West,2007-12-01
152731,,25000.0,25k-50k,< 1 year,Midwest,2007-12-01
105254,,18000.0,<25k,1 year,South,2007-12-01
184901,,5000.0,<25k,< 1 year,Midwest,2007-12-01
183619,,36500.0,25k-50k,1 year,South,2007-12-01
184146,,100000.0,100k+,1 year,Northeast,2007-12-01
183930,,41300.0,25k-50k,1 year,South,2007-12-01
179703,,111000.0,100k+,3 years,Northeast,2007-12-01
186568,,100671.39,100k+,6 years,Midwest,2007-12-01
176187,,36600.0,25k-50k,4 years,Northeast,2007-12-01
163941,,44400.0,25k-50k,4 years,South,2007-12-01
174945,,58800.0,50k-75k,2 years,Midwest,2007-12-01
166657,,33600.0,25k-50k,8 years,Midwest,2007-12-01
167573,,72500.0,50k-75k,1 year,South,2007-12-01
167144,,50000.0,50k-75k,1 year,Northeast,2007-12-01
167147,,44000.0,25k-50k,10+ years,Northeast,2007-12-01
166429,,40000.0,25k-50k,6 years,South,2007-12-01
163526,,48000.0,25k-50k,10+ years,South,2007-12-01
176043,,45000.0,25k-50k,7 years,Northeast,2007-12-01
166419,,42500.0,25k-50k,1 year,Northeast,2007-12-01
167970,,110244.0,100k+,3 years,West,2007-12-01
153157,,153000.0,100k+,1 year,South,2007-12-01
163445,,32904.0,25k-50k,10+ years,South,2007-12-01
163621,,62000.0,50k-75k,3 years,West,2007-12-01
160991,,92000.0,75k-100k,< 1 year,South,2007-12-01
159644,,95000.0,75k-100k,< 1 year,Northeast,2007-12-01
154318,,150000.0,100k+,2 years,Northeast,2007-12-01
158450,,80000.0,75k-100k,2 years,South,2007-12-01
158286,,80000.0,75k-100k,< 1 year,Northeast,2007-12-01
157765,,44000.0,25k-50k,1 year,South,2007-12-01
164738,,200000.0,100k+,< 1 year,Northeast,2007-12-01
168175,,27000.0,25k-50k,10+ years,Northeast,2007-12-01
163382,,24000.0,<25k,3 years,West,2007-12-01
153468,,52000.0,50k-75k,2 years,South,2007-12-01
173899,,19440.0,<25k,1 year,South,2007-12-01
175123,,47000.0,25k-50k,7 years,Northeast,2007-12-01
174986,,108000.0,100k+,< 1 year,South,2007-12-01
174280,,60000.0,50k-75k,6 years,South,2007-12-01
173944,,75000.0,75k-100k,10+ years,West,2007-12-01
173017,,60000.0,50k-75k,4 years,West,2007-12-01
168212,,52000.0,50k-75k,2 years,West,2007-12-01
172641,,97000.0,75k-100k,2 years,West,2007-12-01
171282,,43000.0,25k-50k,< 1 year,South,2007-12-01
171004,,48000.0,25k-50k,10+ years,Northeast,2007-12-01
170462,,52000.0,50k-75k,9 years,Northeast,2007-12-01
165069,,30000.0,25k-50k,1 year,Midwest,2007-12-01
165737,,24000.0,<25k,2 years,South,2007-12-01
164864,,86400.0,75k-100k,< 1 year,South,2007-12-01
142952,,38000.0,25k-50k,8 years,Northeast,2007-12-01
157525,,36000.0,25k-50k,3 years,West,2007-12-01
169334,,42000.0,25k-50k,1 year,South,2007-12-01
170849,,96000.0,75k-100k,< 1 year,South,2007-12-01
168673,,55900.0,50k-75k,1 year,South,2007-12-01
222065,,62000.0,50k-75k,4 years,West,2008-01-01
221224,,100000.0,100k+,7 years,Midwest,2008-01-01
220762,,120000.0,100k+,10+ years,South,2008-01-01
222393,,31000.0,25k-50k,6 years,Midwest,2008-01-01
219919,,40500.0,25k-50k,< 1 year,South,2008-01-01
222675,,88068.0,75k-100k,10+ years,West,2008-01-01
219944,,35000.0,25k-50k,4 years,Midwest,2008-01-01
222752,,75000.0,75k-100k,< 1 year,West,2008-01-01
224951,,46000.0,25k-50k,2 years,South,2008-01-01
223287,,75000.0,75k-100k,< 1 year,South,2008-01-01
223476,,115500.0,100k+,1 year,West,2008-01-01
223916,,175000.0,100k+,3 years,South,2008-01-01
218822,,100000.0,100k+,3 years,South,2008-01-01
223623,,113000.0,100k+,6 years,West,2008-01-01
224356,,57860.0,50k-75k,1 year,South,2008-01-01
224538,,200000.0,100k+,2 years,Northeast,2008-01-01
168432,,50000.0,50k-75k,3 years,South,2008-01-01
223192,,85000.0,75k-100k,1 year,Northeast,2008-01-01
219409,,62000.0,50k-75k,1 year,Northeast,2008-01-01
216160,,115500.0,100k+,10+ years,Northeast,2008-01-01
219169,,60000.0,50k-75k,1 year,West,2008-01-01
216070,,75000.0,75k-100k,10+ years,West,2008-01-01
224975,,85000.0,75k-100k,6 years,West,2008-01-01
200052,,60000.0,50k-75k,10+ years,West,2008-01-01
213030,,48000.0,25k-50k,< 1 year,West,2008-01-01
174214,,26000.0,25k-50k,3 years,Midwest,2008-01-01
216937,,45000.0,25k-50k,< 1 year,Midwest,2008-01-01
215591,,55000.0,50k-75k,< 1 year,South,2008-01-01
217064,,84000.0,75k-100k,10+ years,West,2008-01-01
219312,,45000.0,25k-50k,< 1 year,South,2008-01-01
216587,,36000.0,25k-50k,< 1 year,Midwest,2008-01-01
215783,,62000.0,50k-75k,3 years,West,2008-01-01
216798,,32000.0,25k-50k,2 years,South,2008-01-01
216136,,52500.0,50k-75k,1 year,Midwest,2008-01-01
216568,,43000.0,25k-50k,2 years,Northeast,2008-01-01
218047,,24000.0,<25k,6 years,South,2008-01-01
218321,,11029.0,<25k,10+ years,Northeast,2008-01-01
218656,,37200.0,25k-50k,< 1 year,Northeast,2008-01-01
218997,,37000.0,25k-50k,3 years,West,2008-01-01
214389,,84000.0,75k-100k,4 years,Midwest,2008-01-01
227380,,40000.0,25k-50k,10+ years,Northeast,2008-01-01
232450,,186063.0,100k+,10+ years,South,2008-01-01
225868,,36000.0,25k-50k,< 1 year,West,2008-01-01
231493,,78000.0,75k-100k,5 years,Northeast,2008-01-01
234673,,237000.0,100k+,10+ years,South,2008-01-01
235091,,55000.0,50k-75k,10+ years,South,2008-01-01
234484,,64000.0,50k-75k,1 year,South,2008-01-01
235682,,65000.0,50k-75k,3 years,Midwest,2008-01-01
216572,,48000.0,25k-50k,< 1 year,South,2008-01-01
237477,,65000.0,50k-75k,10+ years,Northeast,2008-01-01
234342,,33000.0,25k-50k,10+ years,Midwest,2008-01-01
235838,,64000.0,50k-75k,8 years,West,2008-01-01
238594,,30000.0,25k-50k,< 1 year,Northeast,2008-01-01
241260,,17544.0,<25k,2 years,South,2008-01-01
242440,,18000.0,<25k,< 1 year,Northeast,2008-01-01
242682,,7904.04,<25k,< 1 year,West,2008-01-01
244014,,35000.0,25k-50k,2 years,South,2008-01-01
183323,,19000.0,<25k,< 1 year,South,2008-01-01
233903,,31000.0,25k-50k,< 1 year,South,2008-01-01
215970,,32496.0,25k-50k,10+ years,South,2008-01-01
234130,,69000.0,50k-75k,1 year,South,2008-01-01
225341,,30000.0,25k-50k,10+ years,Northeast,2008-01-01
232722,,40000.0,25k-50k,2 years,Northeast,2008-01-01
232542,,50000.0,50k-75k,10+ years,South,2008-01-01
225530,,72000.0,50k-75k,10+ years,Midwest,2008-01-01
226351,,80000.0,75k-100k,10+ years,West,2008-01-01
227145,,24000.0,<25k,3 years,West,2008-01-01
226102,,65000.0,50k-75k,< 1 year,South,2008-01-01
227373,,60000.0,50k-75k,< 1 year,South,2008-01-01
228006,,50000.0,50k-75k,2 years,South,2008-01-01
228788,,95000.0,75k-100k,3 years,Midwest,2008-01-01
228859,,32000.0,25k-50k,10+ years,West,2008-01-01
225734,,375000.0,100k+,9 years,South,2008-01-01
206288,,66000.0,50k-75k,10+ years,Midwest,2008-01-01
229806,,90000.0,75k-100k,2 years,South,2008-01-01
230155,,78000.0,75k-100k,4 years,Northeast,2008-01-01
230528,,107000.0,100k+,< 1 year,South,2008-01-01
230928,,110000.0,100k+,10+ years,Midwest,2008-01-01
214993,,22200.0,<25k,5 years,South,2008-01-01
231171,,73000.0,50k-75k,1 year,West,2008-01-01
231531,,20000.0,<25k,1 year,West,2008-01-01
232232,,72000.0,50k-75k,9 years,South,2008-01-01
229463,,69500.0,50k-75k,7 years,Northeast,2008-01-01
215882,,165000.0,100k+,2 years,Northeast,2008-01-01
220027,,90000.0,75k-100k,9 years,South,2008-01-01
215185,,36000.0,25k-50k,6 years,South,2008-01-01
197348,,49500.0,25k-50k,6 years,South,2008-01-01
164764,,40000.0,25k-50k,10+ years,Midwest,2008-01-01
197950,,40000.0,25k-50k,< 1 year,Midwest,2008-01-01
197938,,26000.0,25k-50k,3 years,West,2008-01-01
198937,,522000.0,100k+,10+ years,South,2008-01-01
197916,,120000.0,100k+,3 years,South,2008-01-01
199555,,62500.0,50k-75k,10+ years,South,2008-01-01
199865,,18000.0,<25k,2 years,South,2008-01-01
197115,,120000.0,100k+,3 years,Northeast,2008-01-01
200251,,27000.0,25k-50k,2 years,West,2008-01-01
200788,,38000.0,25k-50k,2 years,West,2008-01-01
200841,,12000.0,<25k,1 year,Midwest,2008-01-01
200892,,50000.0,50k-75k,9 years,Northeast,2008-01-01
175577,,75000.0,75k-100k,4 years,Northeast,2008-01-01
197188,,24000.0,<25k,5 years,Midwest,2008-01-01
201440,,60000.0,50k-75k,< 1 year,West,2008-01-01
201801,,133000.0,100k+,3 years,Northeast,2008-01-01
202156,,50000.0,50k-75k,1 year,Northeast,2008-01-01
200597,,96000.0,75k-100k,7 years,West,2008-01-01
197013,,112000.0,100k+,4 years,South,2008-01-01
196900,,112000.0,100k+,4 years,South,2008-01-01
194670,,22000.0,<25k,6 years,West,2008-01-01
215855,,60000.0,50k-75k,3 years,Northeast,2008-01-01
187320,,42500.0,25k-50k,2 years,West,2008-01-01
190578,,97188.0,75k-100k,7 years,West,2008-01-01
187731,,24960.0,<25k,< 1 year,South,2008-01-01
189776,,100000.0,100k+,10+ years,South,2008-01-01
191101,,107000.0,100k+,< 1 year,West,2008-01-01
193526,,25920.0,25k-50k,1 year,West,2008-01-01
190819,,75000.0,75k-100k,5 years,South,2008-01-01
194314,,68640.0,50k-75k,2 years,West,2008-01-01
194653,,36000.0,25k-50k,8 years,Midwest,2008-01-01
194605,,120000.0,100k+,10+ years,Northeast,2008-01-01
193651,,102000.0,100k+,10+ years,South,2008-01-01
196018,,10000.0,<25k,10+ years,West,2008-01-01
196134,,71000.0,50k-75k,10+ years,West,2008-01-01
188466,,62000.0,50k-75k,10+ years,West,2008-01-01
189204,,19800.0,<25k,< 1 year,West,2008-01-01
194436,,73992.0,50k-75k,2 years,South,2008-01-01
185681,,60600.0,50k-75k,1 year,West,2008-01-01
188413,,58000.0,50k-75k,1 year,West,2008-01-01
202352,,40000.0,25k-50k,1 year,South,2008-01-01
202401,,49500.0,25k-50k,6 years,South,2008-01-01
192688,,21600.0,<25k,4 years,South,2008-01-01
181632,,24600.0,<25k,< 1 year,West,2008-01-01
210596,,77250.0,75k-100k,1 year,West,2008-01-01
210855,,36500.0,25k-50k,3 years,Northeast,2008-01-01
211085,,39270.0,25k-50k,6 years,Northeast,2008-01-01
210644,,19500.0,<25k,< 1 year,South,2008-01-01
199014,,76000.0,75k-100k,10+ years,West,2008-01-01
211817,,75000.0,75k-100k,< 1 year,Northeast,2008-01-01
212440,,44684.66,25k-50k,1 year,Northeast,2008-01-01
212055,,36000.0,25k-50k,4 years,South,2008-01-01
210769,,48000.0,25k-50k,4 years,West,2008-01-01
215085,,38100.0,25k-50k,< 1 year,Northeast,2008-01-01
213418,,30000.0,25k-50k,2 years,West,2008-01-01
213530,,72000.0,50k-75k,3 years,South,2008-01-01
204307,,21600.0,<25k,1 year,West,2008-01-01
214566,,65000.0,50k-75k,5 years,Midwest,2008-01-01
215518,,48000.0,25k-50k,6 years,South,2008-01-01
202709,,60000.0,50k-75k,< 1 year,Midwest,2008-01-01
209340,,48000.0,25k-50k,1 year,West,2008-01-01
208394,,38000.0,25k-50k,< 1 year,South,2008-01-01
212984,,49896.0,25k-50k,8 years,West,2008-01-01
210254,,110000.0,100k+,2 years,South,2008-01-01
211606,,72000.0,50k-75k,4 years,South,2008-01-01
209415,,91200.0,75k-100k,3 years,South,2008-01-01
203345,,120000.0,100k+,< 1 year,Northeast,2008-01-01
203522,,48000.0,25k-50k,< 1 year,South,2008-01-01
202908,,88296.0,75k-100k,8 years,South,2008-01-01
204314,,39996.0,25k-50k,6 years,West,2008-01-01
210137,,63000.0,50k-75k,3 years,South,2008-01-01
167318,,28800.0,25k-50k,< 1 year,Northeast,2008-01-01
206195,,17280.0,<25k,6 years,Northeast,2008-01-01
205197,,67992.0,50k-75k,< 1 year,South,2008-01-01
207023,,19800.0,<25k,1 year,South,2008-01-01
204491,,107000.0,100k+,4 years,South,2008-01-01
190375,,47000.0,25k-50k,1 year,West,2008-01-01
183496,,120000.0,100k+,< 1 year,South,2008-01-01
202271,,61200.0,50k-75k,10+ years,South,2008-01-01
209350,,35064.0,25k-50k,4 years,Midwest,2008-01-01
208564,,78504.0,75k-100k,2 years,West,2008-01-01
197016,,61200.0,50k-75k,10+ years,Northeast,2008-01-01
207374,,41500.0,25k-50k,< 1 year,West,2008-01-01
207594,,69600.0,50k-75k,2 years,Northeast,2008-01-01
257001,,34500.0,25k-50k,2 years,South,2008-02-01
259488,,80000.0,75k-100k,1 year,Midwest,2008-02-01
255230,,32400.0,25k-50k,6 years,Northeast,2008-02-01
257327,,52000.0,50k-75k,2 years,South,2008-02-01
257606,,45000.0,25k-50k,1 year,Northeast,2008-02-01
258200,,48000.0,25k-50k,1 year,West,2008-02-01
259403,,24000.0,<25k,2 years,South,2008-02-01
255516,,45000.0,25k-50k,< 1 year,South,2008-02-01
246218,,38400.0,25k-50k,2 years,South,2008-02-01
258801,,38000.0,25k-50k,3 years,South,2008-02-01
241999,,39996.0,25k-50k,1 year,South,2008-02-01
259132,,38000.0,25k-50k,< 1 year,South,2008-02-01
259015,,200000.0,100k+,5 years,South,2008-02-01
213853,,52559.0,50k-75k,9 years,Northeast,2008-02-01
257736,,45000.0,25k-50k,4 years,West,2008-02-01
258625,,53307.0,50k-75k,5 years,West,2008-02-01
252512,,76554.0,75k-100k,10+ years,West,2008-02-01
256681,,58000.0,50k-75k,10+ years,West,2008-02-01
253183,,36000.0,25k-50k,2 years,Northeast,2008-02-01
253818,,24605.0,<25k,3 years,South,2008-02-01
253974,,41000.0,25k-50k,2 years,South,2008-02-01
254177,,104000.0,100k+,10+ years,Northeast,2008-02-01
254233,,17721.0,<25k,< 1 year,West,2008-02-01
237046,,20000.0,<25k,< 1 year,West,2008-02-01
240140,,54000.0,50k-75k,2 years,Midwest,2008-02-01
240996,,92400.0,75k-100k,10+ years,Midwest,2008-02-01
253310,,150000.0,100k+,8 years,South,2008-02-01
202222,,30000.0,25k-50k,4 years,Midwest,2008-02-01
254752,,37000.0,25k-50k,< 1 year,West,2008-02-01
254956,,25000.0,25k-50k,2 years,Midwest,2008-02-01
255095,,100000.0,100k+,1 year,Northeast,2008-02-01
243433,,31920.0,25k-50k,< 1 year,West,2008-02-01
255790,,45000.0,25k-50k,3 years,South,2008-02-01
252221,,60000.0,50k-75k,10+ years,Northeast,2008-02-01
242830,,37000.0,25k-50k,4 years,West,2008-02-01
256304,,60000.0,50k-75k,< 1 year,Northeast,2008-02-01
256438,,80415.0,75k-100k,1 year,West,2008-02-01
254710,,78000.0,75k-100k,10+ years,West,2008-02-01
256475,,100000.0,100k+,9 years,South,2008-02-01
256963,,107000.0,100k+,3 years,Northeast,2008-02-01
259156,,30000.0,25k-50k,2 years,Midwest,2008-02-01
262119,,65000.0,50k-75k,4 years,West,2008-02-01
257514,,36120.0,25k-50k,8 years,West,2008-02-01
264254,,26000.0,25k-50k,1 year,Northeast,2008-02-01
264449,,40000.0,25k-50k,< 1 year,West,2008-02-01
264737,,69600.0,50k-75k,7 years,Northeast,2008-02-01
263999,,109200.0,100k+,4 years,West,2008-02-01
261921,,50004.0,50k-75k,2 years,Northeast,2008-02-01
264755,,56016.0,50k-75k,4 years,South,2008-02-01
265083,,42000.0,25k-50k,4 years,West,2008-02-01
265106,,30000.0,25k-50k,< 1 year,West,2008-02-01
260813,,45000.0,25k-50k,< 1 year,West,2008-02-01
252913,,24000.0,<25k,5 years,Midwest,2008-02-01
264305,,100000.0,100k+,10+ years,South,2008-02-01
